name,rank,rate,matches,hero
ipanker,World Rank 2,Win Rate 50.87%,808 Matches,valir
MistyRogue,World Rank 3,Win Rate 67.98%,784 Matches,valir
[NHI] Ramadhan11,World Rank 4,Win Rate 56.56%,343 Matches,valir
Eurus,World Rank 5,Win Rate 56.7%,612 Matches,valir
M•T°Lya•Fury,World Rank 2,Win Rate 79.04%,1083 Matches,martis
●Sყɳσ●,World Rank 3,Win Rate 88.77%,2476 Matches,martis
神 ƧӨПƧ,World Rank 4,Win Rate 56.02%,880 Matches,martis
Miguel Taɴғelix,World Rank 5,Win Rate 63.31%,447 Matches,martis
Mᴇᴅᴜsᴀ ᵉˣ,World Rank 2,Win Rate 70.89%,237 Matches,hanabi
°MLco° Nendi,World Rank 3,Win Rate 64.05%,331 Matches,hanabi
EVOS•m√p,World Rank 4,Win Rate 74.56%,169 Matches,hanabi
KINGJ,World Rank 5,Win Rate 72.59%,197 Matches,hanabi
rebirth666,World Rank 2,Win Rate 75.85%,2671 Matches,miya
Kaspogi,World Rank 3,Win Rate 62.85%,751 Matches,miya
s̶a̾ M͓̽ v̶p̾,World Rank 4,Win Rate 56.56%,5831 Matches,miya
Kaizuko,World Rank 5,Win Rate 59.5%,2516 Matches,miya
General • Emir☆,World Rank 2,Win Rate 60.56%,961 Matches,balmond
•∂αυη² | ρz,World Rank 3,Win Rate 61.94%,691 Matches,balmond
ˢᵖ | Tнаnоѕ,World Rank 4,Win Rate 56.96%,2370 Matches,balmond
NOOBMICK,World Rank 5,Win Rate 58.65%,827 Matches,balmond
ᶰᵛ ᴋïᴅ,World Rank 2,Win Rate 89.96%,468 Matches,saber
Winneяʑ  荣誉°,World Rank 3,Win Rate 92.62%,1124 Matches,saber
r̶e̶i̶g̶a̶Hanz,World Rank 4,Win Rate 74.98%,1015 Matches,saber
Louvre Rmitchi,World Rank 5,Win Rate 84.35%,869 Matches,saber
Bosku_No1_Indonesia,World Rank 2,Win Rate 81.64%,926 Matches,alice
H Camp,World Rank 3,Win Rate 78.7%,3554 Matches,alice
(^.^) wmwm,World Rank 4,Win Rate 84.24%,1808 Matches,alice
ÐÐ|ѕнσ ˢ₉,World Rank 5,Win Rate 80.28%,1080 Matches,alice
•F∆C• allen96,World Rank 2,Win Rate 55.8%,2846 Matches,nana
JUSTLIE,World Rank 3,Win Rate 55.17%,1122 Matches,nana
Zzz.,World Rank 4,Win Rate 54%,650 Matches,nana
WhosWAGdaBestNOOB,World Rank 5,Win Rate 53.31%,1810 Matches,nana
ϯσxɪᴄ | izϻᴀ,World Rank 2,Win Rate 59.11%,1284 Matches,tigreal
GNT-00Q,World Rank 3,Win Rate 55.56%,2939 Matches,tigreal
UniverusG2A.DOTA2.Re,World Rank 4,Win Rate 56.49%,1556 Matches,tigreal
•Macan_Bentol•,World Rank 5,Win Rate 58.45%,373 Matches,tigreal
✗єяσℓყи™,World Rank 2,Win Rate 62.24%,2818 Matches,alucard
VALVOGA,World Rank 3,Win Rate 68.41%,1165 Matches,alucard
ϻσiʑ•đrᴀcule,World Rank 4,Win Rate 63.88%,2068 Matches,alucard
BuluBol,World Rank 5,Win Rate 52.63%,1596 Matches,alucard
Jer'S ঐ BARBAR,World Rank 2,Win Rate 65.38%,1713 Matches,karina
ϾᴌϵanᏕȼhɨƶo,World Rank 3,Win Rate 67.32%,1282 Matches,karina
[VIP]•ʜøŋ|ɛʂt,World Rank 4,Win Rate 66.55%,1734 Matches,karina
Rᴱᴬᴹ•Denniś,World Rank 5,Win Rate 75.81%,1596 Matches,karina
EVOS•Donkey BARBAR,World Rank 2,Win Rate 80.17%,1659 Matches,akai
KneEr,World Rank 3,Win Rate 85.47%,2016 Matches,akai
ᴀ̶ᴘ̶e ᴀɴᴛ,World Rank 4,Win Rate 80.65%,558 Matches,akai
тʍɢ OlalaOlele,World Rank 5,Win Rate 69.28%,1351 Matches,akai
bonbon,World Rank 2,Win Rate 66.75%,1140 Matches,franco
「 Ꭾoseidon 」,World Rank 3,Win Rate 65.49%,3243 Matches,franco
Walter.Shot,World Rank 4,Win Rate 59.97%,1234 Matches,franco
BejoSastro-,World Rank 5,Win Rate 51.08%,924 Matches,franco
Wilfin_No1_Indonesia,World Rank 2,Win Rate 83.92%,454 Matches,bane
ᵂᶜ ႽᎥռႺle,World Rank 3,Win Rate 70.48%,1040 Matches,bane
Diem | ᴋᴇʟsa°,World Rank 4,Win Rate 81.28%,374 Matches,bane
ғєαя | s.w.s,World Rank 5,Win Rate 57.14%,1526 Matches,bane
BosQ’WER WER PRFS7,World Rank 2,Win Rate 67.35%,729 Matches,bruno
「BLV」Lie.R#4,World Rank 3,Win Rate 67.45%,1235 Matches,bruno
чqчq ❀,World Rank 4,Win Rate 75.53%,3535 Matches,bruno
Mystq°ҳყʑᴱᶻ,World Rank 5,Win Rate 67.46%,1131 Matches,bruno
EnemyKiller,World Rank 2,Win Rate 79.26%,1215 Matches,clint
OliverKenta,World Rank 3,Win Rate 84.87%,1269 Matches,clint
[PB]PandaTorus,World Rank 4,Win Rate 60.74%,1029 Matches,clint
『SKILL』Papa MudA,World Rank 5,Win Rate 67.83%,2213 Matches,clint
ᴢʀᴏ | ʏinʏang,World Rank 2,Win Rate 81.42%,1168 Matches,rafaela
打10个,World Rank 3,Win Rate 64.67%,3105 Matches,rafaela
Jack (伟杰),World Rank 4,Win Rate 57.96%,1011 Matches,rafaela
Michael the Archmage,World Rank 5,Win Rate 60.54%,1926 Matches,rafaela
Yoto_Reborn,World Rank 2,Win Rate 60.11%,1073 Matches,eudora
Eudora 1shot,World Rank 3,Win Rate 62.36%,813 Matches,eudora
Ulu’TÜRK!,World Rank 4,Win Rate 66.4%,3771 Matches,eudora
Andraknz,World Rank 5,Win Rate 55.68%,986 Matches,eudora
Lϵgacy SkyWee,World Rank 2,Win Rate 82.51%,4226 Matches,zilong
Frandz「ℜ」,World Rank 3,Win Rate 78.35%,5694 Matches,zilong
ɨДиуΔиΣ卄,World Rank 4,Win Rate 68%,3216 Matches,zilong
¥ãŷãñ Fαggìø,World Rank 5,Win Rate 62.97%,1661 Matches,zilong
Tig﹏ Narga™,World Rank 2,Win Rate 85.54%,1010 Matches,fanny
•A†heηa•,World Rank 3,Win Rate 84.14%,4936 Matches,fanny
GOODBYE GRANDFATHER,World Rank 4,Win Rate 80%,955 Matches,fanny
ᶰᵛ ᎦKY 衷人,World Rank 5,Win Rate 84.11%,1548 Matches,fanny
▪MidnightCancer▪,World Rank 2,Win Rate 65.08%,693 Matches,layla
layla™,World Rank 3,Win Rate 60.09%,1531 Matches,layla
Hyex,World Rank 4,Win Rate 65.11%,1545 Matches,layla
シ Mueeza シ,World Rank 5,Win Rate 60.66%,483 Matches,layla
happymiso,World Rank 2,Win Rate 64.6%,322 Matches,minotaur
[GAZİ]LaZKoPaT1453,World Rank 3,Win Rate 59.45%,2084 Matches,minotaur
Darkflow3r,World Rank 4,Win Rate 63.32%,668 Matches,minotaur
¹'ˢᵗƬew♡,World Rank 5,Win Rate 76.75%,2013 Matches,minotaur
r̶e̶i̶g̶a̶Azumy,World Rank 2,Win Rate 73.44%,787 Matches,lolita
Ғrat • Ҩυεεη,World Rank 3,Win Rate 51.86%,1720 Matches,lolita
ᶰᵛ ᴋïᴅ,World Rank 4,Win Rate 89.96%,468 Matches,lolita
I'M ᎦKY 衷人,World Rank 5,Win Rate 87.63%,1698 Matches,lolita
ɢᴏsᴜ YL Shadow,World Rank 2,Win Rate 87.96%,1545 Matches,hayabusa
r̶e̶i̶g̶a̶cupu,World Rank 3,Win Rate 66.84%,1146 Matches,hayabusa
「 MLV」Chesster,World Rank 4,Win Rate 66.82%,1085 Matches,hayabusa
Rᴱᴬᴹ•Fenryr,World Rank 5,Win Rate 74.85%,851 Matches,hayabusa
ᴷ Ʀყҽ-v2.0 ᴷ,World Rank 2,Win Rate 82.24%,2917 Matches,freya
N E O ツ,World Rank 3,Win Rate 74.88%,816 Matches,freya
Z̶s̶s|`✿~Mello,World Rank 4,Win Rate 59.75%,2917 Matches,freya
dingggggg,World Rank 5,Win Rate 61.4%,557 Matches,freya
D̶i̶rt̶yVgeta,World Rank 2,Win Rate 74.38%,2736 Matches,gord
Jυρι†εг 炎,World Rank 3,Win Rate 82.14%,1775 Matches,gord
Ꮰ‘Wolf 愷,World Rank 4,Win Rate 69.28%,2158 Matches,gord
Sly.Boss•｢OWL｣,World Rank 5,Win Rate 63.31%,714 Matches,gord
D̶i̶rt̶yVgeta,World Rank 2,Win Rate 74.38%,2736 Matches,gord
Jυρι†εг 炎,World Rank 3,Win Rate 82.14%,1775 Matches,gord
Ꮰ‘Wolf 愷,World Rank 4,Win Rate 69.28%,2158 Matches,gord
Sly.Boss•｢OWL｣,World Rank 5,Win Rate 63.31%,714 Matches,gord
нι∂є,World Rank 2,Win Rate 87.04%,1868 Matches,natalia
нιмє,World Rank 3,Win Rate 60.19%,643 Matches,natalia
αнмαɖ 963,World Rank 4,Win Rate 74.37%,1799 Matches,natalia
яešsαм•緊張,World Rank 5,Win Rate 70.12%,723 Matches,natalia
ᶰᵛ ғᴇɴʀɪʀ,World Rank 2,Win Rate 79.12%,656 Matches,kagura
Yolo_No1_Indonesia,World Rank 3,Win Rate 81.08%,724 Matches,kagura
Tig﹏₭ιng™,World Rank 4,Win Rate 81.43%,1255 Matches,kagura
нι∂є,World Rank 5,Win Rate 87.04%,1868 Matches,kagura
D̶i̶r̶t̶y̶Jay̶,World Rank 2,Win Rate 72.94%,2894 Matches,chou
